來源,刊登/更新日,職缺名稱,公司,薪資範圍,地區,地址,工作經歷,學歷,技能/工具,職務類別,Job Description,連結
104人力銀行,2026-05-29,資深程式開發人員,第一銀行_第一商業銀行股份有限公司,未公開 / 面議,台北市大同區,台北市大同區,2年以上,大學以上,,其他資訊專業人員、軟體工程師、系統工程師,【工作內容】資訊系統規劃、建置、管理、異常排除。 【學歷與資格條件】 1.國內、外大學已取得學士(含)以上學位(畢業)證書。 2.具有二年以上程式開發經驗。 3.需具備有良好的學習能力和溝通能力，能夠主動快速學習新技術，良好的系統設計能力及問題解決能力。 【其他條件】 ※必要條件： 1.至少須符合下列任一項條件，並具二年以上系統開發工作經驗者： (1)具COBOL、ASSEMBLY、JAVA、C#、.NET、ASP.Net、VB.Net、Lotus Notes程式開發經驗。 (2)具Spring Boot、JSF、JSP、JavaScript、HTML、Node.js、PHP、Python、Shell Script程式開發經驗。 (3)具Oracle、MSSQL、DB2資料庫程式開發經驗。 (4)具LINUX、AIX系統開發經驗。 (5)具Android平台開發經驗。 (6)熟悉AWS、Azure、GCP雲端平台。 (7)熟悉Dynatrace、NagiosXI、Elasticsearch、Logstash、Kibana、Grafana工具。 2.能配合於假日、夜間來行處理業務需求者。 ※加分條件： 1.熟悉IBM大型主機、Windows、Linux、AIX作業系統操作及管理。 2.具開放式伺服器系統管理規劃及維護經驗、VM安裝建置經驗、IBM WebSphere平台管理經驗、IMS管理經驗。 3.具雲端環境與應用管理經驗或開發經驗、中台或微服務開發經驗。 4.具Dynatrace、NagiosXI、Elasticsearch、Logstash、Kibana、Grafana應用及開發經驗。 5.具存款、授信、防制洗錢、信託、外匯等相關金融業務經驗，或銀行帳務、財金系統開發經驗。 6.取得相當於全民英檢中高級以上英語檢定證明(TOEIC 750分以上、IELTS 5.5分以上、TOEFL iBT 71分以上等)。,https://www.104.com.tw/job/7pge2
104人力銀行,2026-05-31,AI系統開發工程師（Java/Spring Boot／前端),睿傳數據股份有限公司,未公開 / 面議,新北市新店區,新北市新店區 復興路43號10樓,3年以上,大學以上,Java、JavaScript,軟體工程師,1.運用最新 AI 工具（如 GitHub Copilot、Claude Code、Gemini CLI 等），根據業務需求規格書，設計並開發高效能系統，提升自動化與智能化水準。 2.維護並優化現有應用系統，快速回應使用者需求變更，主動追蹤並解決技術問題，確保系統穩定運行。 3.審視與重構軟體架構，提升系統品質、開發效能及可維護性，推動技術債務清償。 4.引領團隊導入創新技術與解決方案，以創新思維突破技術瓶頸，提升團隊整體競爭力。,https://www.104.com.tw/job/786yt
104人力銀行,2026-05-31,資深後端工程師,唯瀚資訊股份有限公司,"月薪 NT$100,000 以上",台北市中正區,台北市中正區,5年以上,大學、碩士,Git、Github、Java、PostgreSQL,後端工程師,⭐️ 團隊介紹： 電商市場瞬息萬變，但大多數品牌仍被笨重的系統拖著跑。我們想改變這件事。 我們是一支剛起步、充滿幹勁的 SaaS 新創團隊，正在從零打造一套真正為電商而生的整合平台——涵蓋「電商前後台管理系統」與「倉儲管理系統（WMS）」，讓品牌從接單、庫存到出貨，全程順暢無縫。 我們相信：現在加入，就是在決定這個產品長什麼樣子。你的每一個技術決策、每一行程式碼，都會直接影響產品走向與客戶體驗——而不是淹沒在龐大組織的層層審核裡。 我們也是一支認真擁抱 AI 工具的團隊。我們不只「允許」使用 AI，而是積極把它內建進開發流程，讓每位工程師都能把時間花在真正有價值的事上。如果你也厭倦了重複性工作，想用更聰明的方式開發——你會在這裡找到志同道合的夥伴。 ⭐️ 您將成為後端核心開發成員，參與以下工作： 1. 負責電商前後台（訂單、商品、會員、金流、物流）及 WMS（庫存、揀貨、出入庫）後端系統設計與開發 2. 串接第三方金流及第三方物流 API，確保交易與出貨流程穩定可靠 3. 設計並維護 RESTful API / GraphQL，確保高可用性與高效能 4. 規劃微服務架構，評估技術選型，優化系統效能與穩定性 5. 撰寫單元測試、整合測試，維護程式碼品質與 CI/CD 流程 6. 善用 AI 工具（如 GitHub Copilot、Cursor、OpenAI Codex、Claude Code 等）提升開發效率與程式碼品質 7. 參與技術架構討論，提出改善方案 8. 跨部門協作，與產品、前端及 QA 團隊共同推動功能落地 ⭐️ 我們期待的您： 1. Java 後端開發經驗 5 年以上，熟悉 Spring Boot / Spring Cloud 生態系 2. 熟悉 PostgreSQL，具備資料庫效能調優及索引設計能力 3. 具備 RESTful API 設計與版本管理經驗 4. 熟悉 Docker 容器化技術與 Kubernetes 基本操作 5. 了解 Git Flow 版本控制與 CI/CD 流程（Jenkins / GitLab CI / GitHub Actions,https://www.104.com.tw/job/901nl
104人力銀行,2026-05-31,T－Java SD / PG 工程師（雙北／新竹／台中／台南／高雄）,緯創軟體股份有限公司,未公開 / 面議,新北市汐止區,新北市汐止區 (大台北地區),不拘,專科以上,Spring、J2EE、JavaScript,系統分析師、軟體工程師、Internet程式設計師,"【WITS緯創軟體（4953）】 WITS 是台灣唯一專注於全球交付的資訊服務上櫃公司，隨著業績持續成長與海外專案拓展，我們正在尋找各產業背景的【軟體工程師／系統開發人員】，共同加入我們國際化的開發團隊。專案眾多，將根據您產業經驗、技術程度、專長類別、與期待工作地點，於面試時詳談工作內容與機會，錄取後即為緯創軟體正職人員。 歡迎來自各產業【金融、電信、醫療、製造、零售等】，只要具備軟體開發實務經驗，WITS 邀請您的加入！ 【主要產業】 銀行／保險／證券／半導體／面板／電子／通訊業...等 【應徵條件】 1. 熟悉 Java, Spring MVC, Spring boot （任一技術者） 2. 擅長 JSP, Java script, HTML, SQL 3. 1年以上軟體相關經驗者 【工作地點】（擇一） 雙北、新竹科學園區、台中（台中市／台中科學園區）、台南科學園區、高雄市等 【薪資】 面議（依經驗與能力核薪）",https://www.104.com.tw/job/69z7s
104人力銀行,2026-05-31,【Fluv毛小愛】資深全端軟體工程師 Senior Full-Stack Engineer,可艾創意科技股份有限公司,"月薪 NT$80,000 ~ 100,000",台北市松山區,台北市松山區 富錦街8號2樓之3,3年以上,高中以上,JavaScript、ReactNative,軟體工程師、全端工程師,"公司與產品資訊請見 [官網](https://www.fluv.com)。 【工作內容】 - 開發 App 與 Web - 需要串接後端資料庫與儲存空間等基礎設施，但無需管理伺服器 【基本條件】 - 深厚資訊科學基礎 - 善於團隊合作 - 重視軟體品質 - 擅於溝通 【基本技術條件 (必備)】 - 具有 React / React Native 或 Native iOS / Android 任一種開發經驗 - 精通以下至少一種程式語言：Javascript、Java、Python、Golang、Kotlin、Swift - 任一整合 API 經驗 - 基本版本控管概念 (Git) 【次要技術條件 (有經驗者大加分)】 - 具有開發多人使用之大型服務經驗 - 熟悉其他腳本語言，例如 Python, Shell Script - 熟悉軟體開發流程 - 熟悉 Firebase 或相似的平台 【福利與環境】 - 免費的零食與飲料 - 開放式管理風格與舒適工作環境 - 寵物友善工作空間（歡迎吸貓吸狗/陪伴自家毛孩） - 工程師配有Mac book M系列晶片 - 彈性上班時間",https://www.104.com.tw/job/8os6u
104人力銀行,2026-05-31,JAVA後端開發工程師 - Java Developer -BT,博思顧問有限公司,"年薪 NT$800,000 ~ 1,500,000",台北市南港區,台北市南港區 市民大道7段8號12樓,3年以上,專科、大學、碩士,Java、AWS、PostgreSQL、Jenkins、Socket、MySQL,後端工程師、軟體工程師,【職位簡介】 我們是間新創的軟體開發公司，致力於打造創新產品與沉浸式數位體驗，服務全球用戶。 我們正在尋找一位細心且邏輯思維強的【JAVA後端開發工程師】，開發並提供高效能的線上互動系統，能依照客戶品牌與使用需求打造專屬解決方案，確保每一項產品在推出前達到穩定、可靠且高品質的標準。 【主要職責】 一、後端系統設計與開發 - 使用 Spring Boot 設計與開發可擴充的後端服務，支援多人即時互動。 - 實作並維護基於 Socket.IO / WebSocket 的即時通訊系統，確保低延遲與高穩定性。 - 建立並優化 資料模型（Data Models），整合 SQL 與 NoSQL 資料庫，確保效能與資料一致性。 二、分散式系統與效能優化 - 設計與運行 低延遲、高可用性與容錯性 的分散式服務架構。 - 使用 Docker 進行容器化部署，並在 AWS（ECS、EKS、EC2、RDS、ElastiCache） 上管理與監控服務。 - 進行多執行緒與非同步處理優化，確保系統能在高併發情境下穩定運行。 三、跨部門協作與開發流程 - 與設計師、前端開發、DevOps 與 QA 團隊緊密合作，在 Agile/Scrum 環境中快速交付高品質產品。 - 協助建立與維護 CI/CD 自動化部署流程，確保開發效率與系統穩定性。 - 對雲端環境與系統監控（CloudWatch、Grafana 等）持續優化與改進。 【任職資格】 - 精通 Java 17，具備使用 Spring Boot 架構開發服務端應用的實務經驗。 - 熟悉 Socket.IO 或其他即時通訊技術（如 WebSocket、gRPC、Netty）。 - 深入理解 分散式系統設計、高併發與低延遲架構。 - 具備 Docker 容器化與微服務部署經驗。 - 熟悉 AWS 雲端環境（ECS / EKS / EC2 / S3 / RDS / Lambda / CloudWatch）。 - 具備 SQL（MySQL / PostgreSQL） 與 NoSQL（Redis / MongoDB） 使用經驗。 - 熟悉多執行緒、非同步,https://www.104.com.tw/job/8wu9c
104人力銀行,2026-05-31,A- DevOps Engineer (Global Project),緯創軟體股份有限公司,未公開 / 面議,新北市汐止區,新北市汐止區,5年以上,大學、碩士,,軟體工程師,"We are seeking an experienced DevOps Engineer to join our team on a contract basis. The primary focus of this role will be to modernize and migrate our legacy CI/CD pipelines from Jenkins to GitLab. Our core application is built in Java, and you will work closely with our California-based engineering team to ensure a smooth transition and ongoing pipeline optimization. Key Responsibilities • Analyze existing Jenkins pipelines and design equivalent or improved workflows in GitLab CI/CD. • Lead the migration of legacy build, test, and deployment processes from Jenkins to GitLab. • Collaborate with development and QA teams to ensure seamless integration and minimal disruption. • Optimize CI/CD processes for efficiency, reliability, and scalability. • Document new pipeline processes and provide knowledge transfer to internal teams. • Troubleshoot and resolve issues related to build automatio",https://www.104.com.tw/job/8zmzm
104人力銀行,2026-05-31,T－（AI）全端工程師 （新竹）,緯創軟體股份有限公司,未公開 / 面議,新竹縣寶山鄉,新竹縣寶山鄉,2年以上,大學以上,Excel、Microsoft Azure,全端工程師,"※職務內容 【TQSD 機台品質系統部】 1. 廠設備資產管理平台，進機掃毒系統自動化整合 2. 強化/重構既有工廠設備資產管理平台 3. 透過New Technology (k8s,CI/CD, Prometheus,…)開發並加強平台監控與管理機制 ※職務需求 1. 對 Cloud Native 軟體開發和維運具熱忱，熟悉或有興趣學習 Kubernetes、Azure CI/CD、MERN、Prometheus 等平台。 2. 須具備至少一種程式語言的經驗(C/C++, JAVA, Python, TypeScript/JavaScript......) 3. 常用資料庫技術(Cassandra、MariaDB、MinIO、Oracle) 4. 有container and cloud-native solutions的經驗 5. 具備全端網頁應用開發經驗，並熟悉大型軟體應用的開發。 6. 熟悉 TCP/IP 通訊協定和資安知識。",https://www.104.com.tw/job/8oyoi
104人力銀行,2026-05-31,【擴編招募】JAVA遊戲伺服器後端工程師★高薪挑戰｜成長團隊★,梵奧科技股份有限公司,"月薪 NT$30,000 ~ 50,000",雲林縣斗六市,雲林縣斗六市 民生南路6號,1年以上,高中,Git、C#、Java、Python、MS SQL、MySQL、IIS,軟體工程師,1.依照需求定義系統的功能和性能，規劃完整流程，撰寫系統規格書，選擇合適的開發模型和方法。 2.使用 Java、C#、Python 程式語言和 MySQL 資料庫，根據系統規格書，設計和實現後端系統和應用程式，包括資料庫、API、邏輯層等。 3.對開發的系統和應用程式進行各種測試，如單元測試、整合測試、系統測試、壓力測試等，確保系統的功能和性能符合需求和規格，並修復發現的缺陷。 4.優化維護已經建置完成的系統，系統異常狀況排除，確保系統的穩定性、可擴展性和高可用性。 5.使用MySQL、MSSQL關聯式資料庫設計、開發和管理資料庫系統，串接資料產匯統計報表，優化資料庫的效能、安全性和可靠性，解決資料庫的問題和故障。 6.與其他開發人員和團隊成員合作，提供資料庫的技術支援和建議。 7.使用SVN管理和追蹤應用系統的結構，以便於團隊協作、變更追溯和安全部署。 8.系統安裝與環境設定 (Windows Server、JAVA JDK、MYSQL Server、SQL Server、IIS、Vmware、PVE、SVN)。,https://www.104.com.tw/job/8jtum
104人力銀行,2026-05-31,【擴編招募】JAVA遊戲伺服器後端工程師助理★高薪挑戰｜成長團隊★,梵奧科技股份有限公司,"月薪 NT$30,000 ~ 50,000",雲林縣斗六市,雲林縣斗六市 民生南路6號,1年以上,高中,Git、C#、Java、Python、MS SQL、MySQL、IIS,軟體工程師,1.依照需求定義系統的功能和性能，規劃完整流程，撰寫系統規格書，選擇合適的開發模型和方法。 2.使用 Java、C#、Python 程式語言和 MySQL 資料庫，根據系統規格書，設計和實現後端系統和應用程式，包括資料庫、API、邏輯層等。 3.對開發的系統和應用程式進行各種測試，如單元測試、整合測試、系統測試、壓力測試等，確保系統的功能和性能符合需求和規格，並修復發現的缺陷。 4.優化維護已經建置完成的系統，系統異常狀況排除，確保系統的穩定性、可擴展性和高可用性。 5.使用MySQL、MSSQL關聯式資料庫設計、開發和管理資料庫系統，串接資料產匯統計報表，優化資料庫的效能、安全性和可靠性，解決資料庫的問題和故障。 6.與其他開發人員和團隊成員合作，提供資料庫的技術支援和建議。 7.使用SVN管理和追蹤應用系統的結構，以便於團隊協作、變更追溯和安全部署。 8.系統安裝與環境設定 (Windows Server、JAVA JDK、MYSQL Server、SQL Server、IIS、Vmware、PVE、SVN)。,https://www.104.com.tw/job/898a1
